,state,state_territory,cares_act,omnibus,amer_rescue_act,total_relief
0,AK,Alabama ,9432430,18656989,33027000,61116419
1,AL,Alaska ,193438853,323990876,568130000,1085559729
2,AR,Arkansas ,120857885,205976392,360158000,686992277
3,AS,American Samoa,1617885,2669776,4638000,8925661
4,AZ,Arizona ,288751811,370302708,650847000,1309901519
5,CA,California ,1709452300,2832595888,4973693000,9515741188
6,CO,Colorado ,167984021,278530673,491778000,938292694
7,CT,Connecticut ,141283353,204671015,368726000,714680368
8,DC,District of Columbia,47648606,61887201,109988000,219523807
9,DE,Delaware ,34026660,57142264,101435000,192603924
10,FL,Florida ,740208266,1258044427,2204614000,4202866693
11,FM,Micronesia,3640313,6749563,11684000,22073876
12,GA,Georgia ,406119208,680507675,1191179000,2277805883
13,GU,Guam,5834488,10448433,18192000,34474921
14,HI,Hawaii ,31025564,55398333,97589000,184012897
15,IA,Iowa ,119776010,205488726,363223000,688487736
16,ID,Idaho,60036197,112565102,198214000,370815299
17,IL,Illinois,437425547,718119575,1248641000,2404186122
18,IN,Indiana,235547944,397751081,700665000,1333964025
19,KS,Kansas ,104951367,183779159,323672000,612402526
20,KY,Kentucky ,156808414,257751085,453281000,867840499
21,LA,Louisiana ,189864271,304814068,533337000,1028015339
22,MA,Maine ,280277088,465715401,824325000,1570317489
23,MD,Maryland ,188939061,309518029,544924000,1043381090
24,ME,Maine ,41092834,69073420,120270000,230436254
25,MH,Marshall Islands,1956673,3719492,6438000,12114165
26,MI,Michigan ,354834311,583888630,1026139000,1964861941
27,MN,Minnesota ,183849192,308189761,543138000,1035176953
28,MO,Missouri ,205995071,357147890,627243000,1190385961
29,MP,Northern Marianas,1839331,3274565,5675000,10788896
30,MS,Mississippi ,149058183,245621509,429689000,824368692
31,MT,Montana ,31872977,53175136,93560000,178608113
32,NC,North Carolina ,378297277,641666544,1136110000,2156073821
33,ND,North Dakota ,23287384,39514950,70843000,133645334
34,NE,Nebraska,67222766,118855834,209495000,395573600
35,NH,New Hampsire,41108872,93828242,164756000,299693114
36,NJ,New Jersey,323080779,507110254,888044000,1718235033
37,NM,New Mexico,62282593,118800140,214016000,395098733
38,NV,Nevada,70350454,114097455,200709000,385156909
39,NY,New York,920624359,1466699189,2577636000,4964959548
40,OH,Ohio ,395616040,640507370,1130832000,2166955410
41,OK,Oklahoma ,159882462,236720409,415993000,812595871
42,OR,Oregon ,127113488,226669958,399653000,753436446
43,PA,Pennsylvania ,487129267,742069255,1308714000,2537912522
44,PR,Puerto Rico,323781954,413038545,729015000,1465835499
45,PW,Palau,759490,1283232,2225000,4267722
46,RI,Rhode Island ,64731074,101549122,178364000,344644196
47,SC,South Carolina ,180497659,295594486,518193000,994285145
48,SD,South Dakota ,27146662,45145791,79557000,151849453
49,TN,Tennessee ,237170230,394774619,705365000,1337309849
50,TX,Texas ,1021760338,1685195712,2956945000,5663901050
51,UT,Utah ,143642939,259775348,459283000,862701287
52,VA,Virginia ,294391162,474259753,835181000,1603831915
53,VI,Virgin Islands,1713737,3121047,5446000,10280784
54,VT,Vermont,21552200,36816422,65113000,123481622
55,WA,Washington ,226091942,371181835,654036000,1251309777
56,WI,Wisconsin ,176734475,316630197,566105000,1059469672
57,WV,West Virginia,66559082,106702575,187738000,360999657
58,WY,Wyoming ,13585935,25066676,44338000,82990611
