State,State/Territory,Total Funding
AK,Alabama ,61116419.00
AL,Alaska ,1085559729.00
AR,Arkansas ,686992277.00
AS,American Samoa,8925661.00
AZ,Arizona ,1320351519.00
CA,California ,9516015188.00
CO,Colorado ,938292694.00
CT,Connecticut ,714680368.00
DC,District of Columbia,219523807.00
DE,Delaware ,192603924.00
FL,Florida ,4207572693.00
FM,Micronesia,22073876.00
GA,Georgia ,2277805883.00
GU,Guam,34474921.00
HI,Hawaii ,184012897.00
IA,Idaho ,688487736.00
ID,Illinois ,370815299.00
IL,Indiana ,2403547122.00
IN,Iowa ,1334038025.00
KS,Kansas ,612402526.00
KY,Kentucky ,867504499.00
LA,Louisiana ,1028015339.00
MA,Maine ,1570624489.00
MD,Maryland ,1043381090.00
ME,Massachusetts ,230436254.00
MH,Marshall Islands,12114165.00
MI,Michigan ,1964861941.00
MN,Minnesota ,1035176953.00
MO,Missouri ,1190385961.00
MP,Northern Marianas,10788896.00
MS,Mississippi ,824368692.00
MT,Montana ,178608113.00
NC,Nebraska ,2158090821.00
ND,Nevada ,133645334.00
NE,New Hampshire ,406947600.00
NH,New Jersey ,299693114.00
NJ,New Mexico ,1718235033.00
NM,New York ,395098733.00
NV,North Carolina ,385156909.00
NY,North Dakota ,4965422548.00
OH,Ohio ,2169736410.00
OK,Oklahoma ,812595871.00
OR,Oregon ,753436446.00
PA,Pennsylvania ,2537912522.00
PR,Puerto Rico,1466606499.00
PW,Palau,4267722.00
RI,Rhode Island ,344644196.00
SC,South Carolina ,995329145.00
SD,South Dakota ,151849453.00
TN,Tennessee ,1337309849.00
TX,Texas ,5663901050.00
UT,Utah ,859551287.00
VA,Vermont ,1603831915.00
VI,Virgin Islands,10280784.00
VT,Virginia ,123481622.00
WA,Washington ,1251309777.00
WI,West Virginia ,1059264672.00
WV,Wisconsin ,360999657.00
WY,Wyoming ,82990611.00
